courseName,courseCode,className,academicYear,semester
园林设计专业课1,YLSJ1,园林设计1班,2014-2015,第一学期
园林设计专业课2,YLSJ2,园林设计2班,2014-2015,第一学期
园林设计专业课3,YLSJ3,园林设计3班,2014-2015,第一学期
园林设计专业课4,YLSJ4,园林设计4班,2014-2015,第一学期
园林设计专业课5,YLSJ5,园林设计5班,2014-2015,第一学期
园林设计专业课6,YLSJ6,园林设计6班,2014-2015,第一学期
园林设计专业课7,YLSJ7,园林设计7班,2014-2015,第一学期
园林设计专业课8,YLSJ8,园林设计8班,2014-2015,第一学期
园林设计专业课9,YLSJ9,园林设计9班,2014-2015,第一学期
园林设计专业课10,YLSJ10,园林设计10班,2014-2015,第一学期
园林设计专业课11,YLSJ11,园林设计11班,2014-2015,第一学期
园林设计专业课12,YLSJ12,园林设计12班,2014-2015,第一学期
园林设计专业课13,YLSJ13,园林设计13班,2014-2015,第一学期
